column                           , field_type            , rationale
transaction_type                 , categorical           , "Two values: spending/income. Used for filtering and grouping transactions."
spending_type                    , categorical           , "Two values: day-to-day/regular. Used for categorizing spending behavior."
record_creation_timestamp        , temporal              , "Batch processing timestamp. Only 2 values suggest batch loading times."
transaction_status               , categorical           , "Single value: booked. Status enumeration (though currently only one state)."
proprietary_bank_transaction_code, categorical           , "13 transaction type codes (POS, DPC, D/D, etc.). Used for transaction classification."
mimo_account_id                  , identifier_entity     , "22 unique hashed account identifiers. Identifies customers/accounts in MIMO system."
prophet_account_id               , identifier_entity     , "22 unique account identifiers. Identifies customers/accounts in Prophet system."
agrmnt_id                        , identifier_entity     , "22 unique agreement IDs. Identifies customer agreements/accounts."
category_id                      , categorical           , "45 category UUIDs representing transaction categories. Primary categorical dimension for analysis."
mcc                              , categorical           , "101 Merchant Category Codes. Standard industry categorization system."
recurring_payment_type           , categorical           , "Type of recurring payment (SUBSCRIPTION). Sparse field (99.23% null) only for recurring transactions."
merchant_brand_code              , categorical           , "188 internal merchant brand codes. Used for merchant identification and grouping."
display_narrative                , categorical           , "321 merchant brand names. User-facing merchant categorization."
clean_narrative                  , categorical           , "379 cleaned merchant descriptions. Standardized merchant names with location."
mimo_match_id                    , identifier_enrichment , "384 matching identifiers. Technical key for transaction matching/enrichment logic."
transaction_booking_timestamp    , temporal              , "732 unique dates (2023-2025). Transaction booking date for temporal analysis."
recurring_payment_id             , identifier_entity     , "29 recurring payment IDs. Identifies unique recurring payment arrangements. Sparse (99.23% null)."
amount                           , continuous            , "15,180 unique transaction amounts. Decimal values representing money transferred."
total_kg_co2e                    , continuous            , "45,085 unique CO2 values. Decimal measurements of carbon footprint."
mimo_transaction_id              , identifier_transaction, "100% unique. MIMO system transaction identifier (MD5 hash)."
prophet_transaction_id           , identifier_transaction, "100% unique. Prophet system transaction identifier."
external_transaction_id          , identifier_transaction, "100% unique. External system transaction identifier."
